model,fold_index,group,test_rows,mae_eV,mse_eV2,rmse_eV,r2,mae_nm,mse_nm2,rmse_nm
train_median_baseline,44,BaSiN2,1,0.5814999999999997,0.33814224999999964,0.5814999999999997,,64.42996747170304,4151.220708404711,64.42996747170304
xgboost_original_params,45,BaSiO3,1,0.0035816745758054935,1.2828392766971461e-05,0.0035816745758054935,,0.30450479620878923,0.09272317091415626,0.30450479620878923
train_mean_baseline,45,BaSiO3,1,0.20101685393258473,0.040407775564954104,0.20101685393258473,,18.057192742462178,326.06220973842875,18.057192742462178
train_median_baseline,45,BaSiO3,1,0.17000000000000037,0.028900000000000127,0.17000000000000037,,15.14109616260049,229.2527930051153,15.14109616260049
xgboost_original_params,46,BaY2F8,1,0.11937226486206054,0.014249737618297934,0.11937226486206054,,8.421191372579528,70.91646413360789,8.421191372579528
train_mean_baseline,46,BaY2F8,1,0.5179044943820221,0.26822506530109796,0.5179044943820221,,42.97647775718559,1846.977640413868,42.97647775718559
train_median_baseline,46,BaY2F8,1,0.4860000000000002,0.2361960000000002,0.4860000000000002,,39.97619181279225,1598.0959118531582,39.97619181279225
xgboost_original_params,47,BaY2Si3O10,1,0.11197830200195291,0.012539140119240571,0.11197830200195291,,9.637077472217584,92.87326220552366,9.637077472217584
train_mean_baseline,47,BaY2Si3O10,1,0.12380056179775245,0.015326579101439124,0.12380056179775245,,11.349192398353694,128.80416809484927,11.349192398353694
train_median_baseline,47,BaY2Si3O10,1,0.09300000000000042,0.008649000000000077,0.09300000000000042,,8.453604052997946,71.4634214848633,8.453604052997946
xgboost_original_params,48,BaYSi4N7,1,0.8775541133880616,0.7701012219243067,0.8775541133880616,,107.04270463784405,11458.14061618472,107.04270463784405
train_mean_baseline,48,BaYSi4N7,1,0.040567415730337064,0.0016457152190379992,0.040567415730337064,,3.803105107816407,14.463608461099243,3.803105107816407
train_median_baseline,48,BaYSi4N7,1,0.010000000000000231,0.00010000000000000461,0.010000000000000231,,0.9296202939189584,0.8641938908659706,0.9296202939189584
xgboost_original_params,49,BaZrO3,1,0.21391697883605953,0.04576047383434714,0.21391697883605953,,17.878818379103507,319.65214663296933,17.878818379103507
train_mean_baseline,49,BaZrO3,1,0.34441853932584277,0.1186241302313471,0.34441853932584277,,29.8249348324004,889.5267377569307,29.8249348324004
train_median_baseline,49,BaZrO3,1,0.31300000000000017,0.0979690000000001,0.31300000000000017,,26.870745021506536,722.0369380108183,26.870745021506536
xgboost_original_params,50,Ca(AlS2)2,1,0.19546804428100595,0.0382077563350413,0.19546804428100595,,26.915614346018117,724.4502956235763,26.915614346018117
train_mean_baseline,50,Ca(AlS2)2,1,0.517997191011236,0.2683210898955309,0.517997191011236,,57.26164300938109,3278.895760133802,57.26164300938109
